area_name_en,procedure_area_min,procedure_area_median,procedure_area_max,reg_type_en,rooms_en,land_type_en,floor_bin,project_cat,developer_cat,has_parking,swimming_pool,balcony,elevator,metro
Al Barsha First,35.28,70.01,136.6,"['Existing Properties', 'Off-Plan Properties']","['1 B/R', '2 B/R', '3 B/R', 'Studio']","['Commercial', 'Missing_land_type_en', 'Residential']","['1-10', '11-20', '21-30', '31-40', '41-50', '51-60', '61-70', 'Below 1st/Ground/Podium', 'Missing/No_floor']","['Tier 2', 'Tier 3', 'missing_project_cat', 'small/other_projects']","['A', 'B', 'C', 'D', 'missing_developer_cat', 'small/other_developer']","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]"
Al Barsha South Fifth,30.5,66.4,135.22,"['Existing Properties', 'Off-Plan Properties']","['1 B/R', '2 B/R', '3 B/R', 'Studio']","['Commercial', 'Missing_land_type_en']","['1-10', '11-20', '21-30', '31-40', '51-60', 'Below 1st/Ground/Podium', 'Missing/No_floor']","['Tier 3', 'missing_project_cat', 'small/other_projects']","['B', 'C', 'D', 'missing_developer_cat', 'small/other_developer']","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]"
Al Barsha South Fourth,35.69,69.29,133.94,"['Existing Properties', 'Off-Plan Properties']","['1 B/R', '2 B/R', '3 B/R', 'Studio']","['Commercial', 'Missing_land_type_en', 'Residential']","['1-10', '11-20', '21-30', '31-40', '41-50', '51-60', '61-70', 'Below 1st/Ground/Podium', 'Missing/No_floor']","['Tier 2', 'Tier 3', 'missing_project_cat', 'small/other_projects']","['A', 'B', 'C', 'D', 'missing_developer_cat', 'small/other_developer']","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]"
Al Barshaa South Second,35.79,69.75,138.6,"['Existing Properties', 'Off-Plan Properties']","['1 B/R', '2 B/R', 'Studio']",['Commercial'],"['1-10', '11-20', '21-30', '31-40', '41-50', 'Below 1st/Ground/Podium', 'Missing/No_floor']","['Tier 3', 'missing_project_cat', 'small/other_projects']","['B', 'C', 'missing_developer_cat', 'small/other_developer']","[0, 1]","[0, 1]",[1],[1],[1]
Al Barshaa South Third,33.86,67.36,130.31,"['Existing Properties', 'Off-Plan Properties']","['1 B/R', '2 B/R', '3 B/R', 'Studio']","['Commercial', 'Missing_land_type_en']","['1-10', '11-20', '21-30', '31-40', 'Below 1st/Ground/Podium', 'Missing/No_floor']","['Tier 3', 'missing_project_cat', 'small/other_projects']","['A', 'B', 'C', 'D', 'missing_developer_cat', 'small/other_developer']","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]"
Al Hebiah First,40.21,62.74,216.56,"['Existing Properties', 'Off-Plan Properties']","['1 B/R', '2 B/R', '3 B/R', 'More than 3B/R', 'Studio']","['Commercial', 'Missing_land_type_en']","['1-10', '11-20', '21-30', '31-40', '41-50', 'Below 1st/Ground/Podium', 'Missing/No_floor']","['Tier 2', 'Tier 3', 'missing_project_cat', 'small/other_projects']","['A', 'B', 'C', 'missing_developer_cat', 'small/other_developer']",[1],"[0, 1]","[0, 1]","[0, 1]",[1]
Al Hebiah Fourth,36.15,72.03,141.37,"['Existing Properties', 'Off-Plan Properties']","['1 B/R', '2 B/R', '3 B/R', 'Studio']","['Commercial', 'Industrial', 'Missing_land_type_en', 'Residential']","['1-10', '11-20', '21-30', '31-40', 'Below 1st/Ground/Podium', 'Missing/No_floor']","['Tier 2', 'Tier 3', 'small/other_projects']","['B', 'C', 'D', 'missing_developer_cat', 'small/other_developer']","[0, 1]","[0, 1]","[0, 1]","[0, 1]",[1]
Al Hebiah Second,35.28,70.01,136.6,"['Existing Properties', 'Off-Plan Properties']","['1 B/R', '2 B/R', '3 B/R', 'Studio']","['Commercial', 'Missing_land_type_en', 'Residential']","['1-10', '11-20', '21-30', '31-40', '41-50', '51-60', '61-70', 'Below 1st/Ground/Podium', 'Missing/No_floor']","['Tier 2', 'Tier 3', 'missing_project_cat', 'small/other_projects']","['A', 'B', 'C', 'D', 'missing_developer_cat', 'small/other_developer']","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]"
Al Hebiah Sixth,35.28,70.01,136.6,"['Existing Properties', 'Off-Plan Properties']","['1 B/R', '2 B/R', '3 B/R', 'Studio']","['Commercial', 'Missing_land_type_en', 'Residential']","['1-10', '11-20', '21-30', '31-40', '41-50', '51-60', '61-70', 'Below 1st/Ground/Podium', 'Missing/No_floor']","['Tier 2', 'Tier 3', 'missing_project_cat', 'small/other_projects']","['A', 'B', 'C', 'D', 'missing_developer_cat', 'small/other_developer']","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]"
Al Hebiah Third,35.28,70.01,136.6,"['Existing Properties', 'Off-Plan Properties']","['1 B/R', '2 B/R', '3 B/R', 'Studio']","['Commercial', 'Missing_land_type_en', 'Residential']","['1-10', '11-20', '21-30', '31-40', '41-50', '51-60', '61-70', 'Below 1st/Ground/Podium', 'Missing/No_floor']","['Tier 2', 'Tier 3', 'missing_project_cat', 'small/other_projects']","['A', 'B', 'C', 'D', 'missing_developer_cat', 'small/other_developer']","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]"
