month,median_price,area
31-01-2022,9648.43,Al Barsha South Fourth
28-02-2022,9524.88,Al Barsha South Fourth
31-03-2022,10645.44,Al Barsha South Fourth
30-04-2022,10336.14,Al Barsha South Fourth
31-05-2022,10249.08,Al Barsha South Fourth
30-06-2022,10469.69,Al Barsha South Fourth
31-07-2022,10491.18,Al Barsha South Fourth
31-08-2022,10699.32,Al Barsha South Fourth
30-09-2022,10436.08,Al Barsha South Fourth
31-10-2022,9579.28,Al Barsha South Fourth
30-11-2022,9984.645,Al Barsha South Fourth
31-12-2022,10175.3,Al Barsha South Fourth
31-01-2023,11302.105,Al Barsha South Fourth
28-02-2023,11301.3,Al Barsha South Fourth
31-03-2023,11583.75,Al Barsha South Fourth
30-04-2023,11849.2,Al Barsha South Fourth
31-05-2023,11340.01,Al Barsha South Fourth
30-06-2023,11770.73,Al Barsha South Fourth
31-07-2023,12118.02,Al Barsha South Fourth
31-08-2023,12594.119999999999,Al Barsha South Fourth
30-09-2023,13123.78,Al Barsha South Fourth
31-10-2023,12821.55,Al Barsha South Fourth
30-11-2023,13228.865,Al Barsha South Fourth
31-12-2023,13135.23,Al Barsha South Fourth
31-01-2024,13454.42,Al Barsha South Fourth
29-02-2024,13109.42,Al Barsha South Fourth
31-03-2024,13215.86,Al Barsha South Fourth
30-04-2024,12928.08,Al Barsha South Fourth
31-05-2024,13297.2,Al Barsha South Fourth
30-06-2024,13140.71,Al Barsha South Fourth
31-07-2024,13757.46,Al Barsha South Fourth
31-08-2024,14664.965,Al Barsha South Fourth
30-09-2024,13783.74,Al Barsha South Fourth
31-10-2024,13480.72,Al Barsha South Fourth
30-11-2024,13750.0,Al Barsha South Fourth
31-12-2024,13365.41,Al Barsha South Fourth
31-01-2025,13993.08,Al Barsha South Fourth
28-02-2025,14347.53,Al Barsha South Fourth
31-03-2025,14596.6,Al Barsha South Fourth
30-04-2025,14713.47,Al Barsha South Fourth
31-05-2025,14901.46,Al Barsha South Fourth
30-06-2025,15175.705,Al Barsha South Fourth
31-07-2025,14255.57,Al Barsha South Fourth
31-08-2025,14946.12,Al Barsha South Fourth
30-09-2025,15616.29,Al Barsha South Fourth
31-10-2025,15234.61,Al Barsha South Fourth
30-11-2025,14925.41,Al Barsha South Fourth
31-12-2025,15166.35,Al Barsha South Fourth
31-01-2026,14164.31,Al Barsha South Fourth
31-01-2022,15855.75,Business Bay
28-02-2022,17062.585,Business Bay
31-03-2022,17709.985,Business Bay
30-04-2022,18300.885000000002,Business Bay
31-05-2022,18593.42,Business Bay
30-06-2022,18333.735,Business Bay
31-07-2022,18523.614999999998,Business Bay
31-08-2022,19205.02,Business Bay
30-09-2022,21431.690000000002,Business Bay
31-10-2022,23575.16,Business Bay
30-11-2022,18945.76,Business Bay
31-12-2022,21957.065000000002,Business Bay
31-01-2023,22633.82,Business Bay
28-02-2023,22370.85,Business Bay
31-03-2023,22902.655,Business Bay
30-04-2023,21224.77,Business Bay
31-05-2023,17786.355,Business Bay
30-06-2023,18772.785000000003,Business Bay
31-07-2023,21342.025,Business Bay
31-08-2023,27696.25,Business Bay
30-09-2023,25799.36,Business Bay
31-10-2023,21369.385000000002,Business Bay
30-11-2023,22452.795,Business Bay
31-12-2023,23222.82,Business Bay
31-01-2024,23685.51,Business Bay
29-02-2024,22478.39,Business Bay
31-03-2024,24401.54,Business Bay
30-04-2024,23664.65,Business Bay
31-05-2024,23267.55,Business Bay
30-06-2024,24403.01,Business Bay
31-07-2024,22397.805,Business Bay
31-08-2024,23463.16,Business Bay
30-09-2024,22667.739999999998,Business Bay
31-10-2024,23478.77,Business Bay
30-11-2024,23419.79,Business Bay
31-12-2024,24658.57,Business Bay
31-01-2025,24024.02,Business Bay
28-02-2025,23718.09,Business Bay
31-03-2025,25270.585,Business Bay
30-04-2025,24973.99,Business Bay
31-05-2025,23757.225,Business Bay
30-06-2025,25657.91,Business Bay
31-07-2025,24986.760000000002,Business Bay
31-08-2025,27235.35,Business Bay
30-09-2025,27891.45,Business Bay
31-10-2025,25229.6,Business Bay
30-11-2025,26270.824999999997,Business Bay
31-12-2025,26645.04,Business Bay
31-01-2026,25255.41,Business Bay
31-01-2022,18066.965,Al Merkadh
28-02-2022,16059.07,Al Merkadh
31-03-2022,18158.8,Al Merkadh
30-04-2022,18298.71,Al Merkadh
31-05-2022,18298.71,Al Merkadh
30-06-2022,18214.6,Al Merkadh
31-07-2022,17329.88,Al Merkadh
31-08-2022,16515.3,Al Merkadh
30-09-2022,16702.71,Al Merkadh
31-10-2022,19316.81,Al Merkadh
30-11-2022,20676.97,Al Merkadh
31-12-2022,20124.76,Al Merkadh
31-01-2023,19566.0,Al Merkadh
28-02-2023,19105.95,Al Merkadh
31-03-2023,19375.15,Al Merkadh
30-04-2023,18246.03,Al Merkadh
31-05-2023,19105.995000000003,Al Merkadh
30-06-2023,17080.925,Al Merkadh
31-07-2023,19644.23,Al Merkadh
31-08-2023,19913.16,Al Merkadh
30-09-2023,20182.32,Al Merkadh
31-10-2023,19306.395,Al Merkadh
30-11-2023,19067.809999999998,Al Merkadh
31-12-2023,20834.15,Al Merkadh
31-01-2024,19691.88,Al Merkadh
29-02-2024,18677.055,Al Merkadh
